I5_109.jpg: PSNR = 17.54, MSE = 0.02
I_101.jpg: PSNR = 16.76, MSE = 0.02
I3_19.jpg: PSNR = 17.79, MSE = 0.02
I_115.jpg: PSNR = 21.65, MSE = 0.01
I3_25.jpg: PSNR = 18.44, MSE = 0.01
I_129.jpg: PSNR = 18.24, MSE = 0.01
I3_31.jpg: PSNR = 18.38, MSE = 0.01
I3_30.jpg: PSNR = 17.83, MSE = 0.02
I_128.jpg: PSNR = 19.46, MSE = 0.01
IMG_0401.JPG.jpg: PSNR = 17.31, MSE = 0.02
IMG_0569.JPG.jpg: PSNR = 16.43, MSE = 0.02
I3_24.jpg: PSNR = 18.45, MSE = 0.01
I_114.jpg: PSNR = 18.18, MSE = 0.02
IMG_0254.JPG.jpg: PSNR = 19.49, MSE = 0.01
I3_18.jpg: PSNR = 19.52, MSE = 0.01
I_100.jpg: PSNR = 18.53, MSE = 0.01
IMG_0244.JPG.jpg: PSNR = 18.36, MSE = 0.01
I5_108.jpg: PSNR = 18.84, MSE = 0.01
I5_120.jpg: PSNR = 18.99, MSE = 0.01
I_88.jpg: PSNR = 18.06, MSE = 0.02
I2_3.jpg: PSNR = 18.92, MSE = 0.01
IMG_0395.JPG.jpg: PSNR = 17.66, MSE = 0.02
I_77.jpg: PSNR = 18.90, MSE = 0.01
IMG_0385.JPG.jpg: PSNR = 16.60, MSE = 0.02
I_63.jpg: PSNR = 16.14, MSE = 0.02
I2_58.jpg: PSNR = 19.80, MSE = 0.01
I5_51.jpg: PSNR = 19.75, MSE = 0.01
I5_45.jpg: PSNR = 18.68, MSE = 0.01
I2_64.jpg: PSNR = 18.65, MSE = 0.01
I5_79.jpg: PSNR = 19.49, MSE = 0.01
I2_70.jpg: PSNR = 18.00, MSE = 0.02
I5_92.jpg: PSNR = 18.57, MSE = 0.01
I5_86.jpg: PSNR = 17.30, MSE = 0.02
IMG_0091.JPG.jpg: PSNR = 19.27, MSE = 0.01
IMG_0081.JPG.jpg: PSNR = 19.03, MSE = 0.01
IMG_0236.JPG.jpg: PSNR = 19.11, MSE = 0.01
IMG_0463.JPG.jpg: PSNR = 17.12, MSE = 0.02
IMG_0368.JPG.jpg: PSNR = 18.64, MSE = 0.01
IMG_0378.JPG.jpg: PSNR = 18.33, MSE = 0.01
IMG_0445.JPG.jpg: PSNR = 16.70, MSE = 0.02
I5_90.jpg: PSNR = 18.13, MSE = 0.02
I5_84.jpg: PSNR = 24.19, MSE = 0.00
I2_66.jpg: PSNR = 20.06, MSE = 0.01
I2_72.jpg: PSNR = 14.23, MSE = 0.04
I5_53.jpg: PSNR = 20.02, MSE = 0.01
IMG_0594.JPG.jpg: PSNR = 20.99, MSE = 0.01
I5_47.jpg: PSNR = 19.26, MSE = 0.01
I_75.jpg: PSNR = 17.54, MSE = 0.02
I_61.jpg: PSNR = 18.01, MSE = 0.02
I_49.jpg: PSNR = 20.26, MSE = 0.01
I2_1.jpg: PSNR = 17.51, MSE = 0.02
IMG_0680.JPG.jpg: PSNR = 18.05, MSE = 0.02
IMG_0690.JPG.jpg: PSNR = 17.76, MSE = 0.02
I5_122.jpg: PSNR = 19.10, MSE = 0.01
IMG_0114.JPG.jpg: PSNR = 18.76, MSE = 0.01
IMG_0639.JPG.jpg: PSNR = 17.29, MSE = 0.02
I_116.jpg: PSNR = 19.35, MSE = 0.01
I_102.jpg: PSNR = 20.94, MSE = 0.01
IMG_0437.JPG.jpg: PSNR = 17.44, MSE = 0.02
I3_32.jpg: PSNR = 20.06, MSE = 0.01
I3_26.jpg: PSNR = 17.51, MSE = 0.02
IMG_0262.JPG.jpg: PSNR = 16.56, MSE = 0.02
I3_27.jpg: PSNR = 17.68, MSE = 0.02
I3_33.jpg: PSNR = 18.21, MSE = 0.02
I_103.jpg: PSNR = 16.57, MSE = 0.02
I_117.jpg: PSNR = 19.41, MSE = 0.01
IMG_0098.JPG.jpg: PSNR = 18.39, MSE = 0.01
I5_123.jpg: PSNR = 18.63, MSE = 0.01
IMG_0021.JPG.jpg: PSNR = 19.02, MSE = 0.01
IMG_0159.JPG.jpg: PSNR = 17.06, MSE = 0.02
IMG_0347.JPG.jpg: PSNR = 18.30, MSE = 0.01
I_48.jpg: PSNR = 19.81, MSE = 0.01
IMG_0502.JPG.jpg: PSNR = 17.29, MSE = 0.02
I_60.jpg: PSNR = 17.45, MSE = 0.02
